Model,Best Parameters
SVM_MinMaxScaler_No SMOTE,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
Naive Bayes_MinMaxScaler_No SMOTE,{'var_smoothing': np.float64(0.0015199110829529332)}
Decision Tree_MinMaxScaler_No SMOTE,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}"
KNN_MinMaxScaler_No SMOTE,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
Random Forest_MinMaxScaler_No SMOTE,"{'bootstrap': False, 'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
Ensemble_MinMaxScaler_No SMOTE,"{'voting': 'soft', 'weights': (1, 1, 1, 1, 2)}"
SVM_MinMaxScaler_SMOTE,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
Naive Bayes_MinMaxScaler_SMOTE,{'var_smoothing': np.float64(0.001873817422860383)}
Decision Tree_MinMaxScaler_SMOTE,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}"
KNN_MinMaxScaler_SMOTE,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}"
Random Forest_MinMaxScaler_SMOTE,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}"
Ensemble_MinMaxScaler_SMOTE,"{'voting': 'soft', 'weights': (1, 1, 1, 2, 1)}"
