Model,Best Parameters
SVM_Quantile_No SMOTE,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
Naive Bayes_Quantile_No SMOTE,{'var_smoothing': np.float64(0.0023101297000831605)}
Decision Tree_Quantile_No SMOTE,"{'criterion': 'entropy', 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 2}"
KNN_Quantile_No SMOTE,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}"
Random Forest_Quantile_No SMOTE,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
Ensemble_Quantile_No SMOTE,"{'voting': 'soft', 'weights': (1, 1, 1, 1, 2)}"
SVM_Quantile_SMOTE,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}"
Naive Bayes_Quantile_SMOTE,{'var_smoothing': np.float64(1.5199110829529332e-05)}
Decision Tree_Quantile_SMOTE,"{'criterion': 'entropy', 'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2}"
KNN_Quantile_SMOTE,"{'leaf_size': 1, 'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}"
Random Forest_Quantile_SMOTE,"{'bootstrap': False, 'max_depth': 30, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
Ensemble_Quantile_SMOTE,"{'voting': 'soft', 'weights': (1, 1, 1, 2, 1)}"
